contigName	contigLen	totalAvgDepth	NIOZ130_v_NIOZ114.sam_sort.bam	NIOZ130_v_NIOZ114.sam_sort.bam-var	NIOZ130_v_NIOZ118.sam_sort.bam	NIOZ130_v_NIOZ118.sam_sort.bam-var	NIOZ130_v_NIOZ130.sam_sort.bam	NIOZ130_v_NIOZ130.sam_sort.bam-var
NIOZ130_sc2543_1	5837	37.7264	14.1326	27.1114	14.6856	25.7711	8.90821	14.6522
NIOZ130_sc2548_1	2849	39.9752	15.8837	11.9153	17.5465	37.5674	6.54502	8.20876
NIOZ130_sc2566_1	4474	65.3527	15.3286	23.6327	26.6445	107.773	23.3795	38.0736
NIOZ130_sc2579_1	2507	42.8863	19.2906	36.2061	15.5405	12.0329	8.05515	10.4809
NIOZ130_sc2580_1	2682	41.0122	14.9972	22.5986	17.5549	38.0494	8.46011	23.0167
NIOZ130_sc2584_1	2578	31.9769	11.3068	23.8693	14.1149	34.1828	6.55519	8.96657
NIOZ130_sc2601_1	6370	38.3965	13.996	30.8441	16.3151	33.0574	8.08537	15.2155
NIOZ130_sc2619_1	10113	33.9411	12.0306	29.5198	14.3496	31.2027	7.56088	17.1022
NIOZ130_sc2634_1	30730	69.0987	16.0295	31.3122	28.6782	70.48	24.391	48.5668
NIOZ130_sc2644_1	3718	36.2929	13.7203	29.1654	15.2618	21.2816	7.31082	10.7514
NIOZ130_sc2670_1	2709	64.0211	12.5197	34.2557	28.6346	133.754	22.8667	68.2196
NIOZ130_sc2671_1	3017	39.2857	14.9983	31.3019	16.1831	33.826	8.10429	12.328
NIOZ130_sc2703_1	3895	36.9236	13.5308	24.2817	16.678	21.0208	6.71482	10.2382
NIOZ130_sc2713_1	7098	42.4026	16.6425	39.9235	17.8443	26.8913	7.9158	12.5329
NIOZ130_sc2725_1	59586	69.7352	16.0133	28.469	28.8186	53.4395	24.9033	49.9438
NIOZ130_sc2741_1	7975	65.4776	14.6183	31.9838	27.7896	74.6841	23.0696	41.9009
NIOZ130_sc2808_1	5116	40.9615	15.1895	23.1422	17.3441	31.6407	8.42791	9.86254
NIOZ130_sc2850_1	25272	68.861	17.854	45.5611	26.8262	55.8862	24.1809	40.122
NIOZ130_sc2915_1	11077	39.894	14.9314	25.7398	17.4008	33.0823	7.56191	15.573
NIOZ130_sc2927_1	2513	9.99069	1.85823	6.09807	3.08845	7.61587	5.04401	7.80761
NIOZ130_sc2941_1	5328	36.7511	14.0809	16.6054	16.5464	25.7478	6.12379	8.23021
NIOZ130_sc2965_1	5337	45.257	18.2092	23.0623	19.2051	35.5807	7.84268	9.71649
NIOZ130_sc2977_1	3054	36.2834	12.9821	22.2008	14.3292	20.843	8.97211	16.2139
NIOZ130_sc2978_1	4519	46.4447	16.5154	37.3095	18.4447	27.139	11.4846	16.5985
NIOZ130_sc2981_1	5245	37.2365	13.61	29.4779	16.1097	35.4637	7.51678	10.9605
NIOZ130_sc3017_1	22827	65.8672	14.2093	29.6651	28.0106	63.5802	23.6473	55.9368
NIOZ130_sc3020_1	34682	66.1903	15.3719	32.6323	28.327	52.4086	22.4915	39.4211
NIOZ130_sc3025_1	24301	70.5657	16.1215	26.2473	30.8893	60.9291	23.555	40.5774
NIOZ130_sc3056_1	9795	75.2789	17.3913	81.5717	31.8565	200.522	26.0311	119.67
NIOZ130_sc3093_1	9126	70.585	16.8955	30.6005	31.1338	72.0486	22.5557	53.4125
NIOZ130_sc3135_1	6005	62.7517	13.9812	40.1692	26.9573	137.895	21.8132	72.855
NIOZ130_sc3174_1	4492	70.5663	16.8148	28.5559	30.5868	66.0873	23.1647	45.6287
NIOZ130_sc3199_1	2727	42.1094	13.052	22.2434	20.0539	49.0006	9.00349	16.3825
NIOZ130_sc3207_1	5140	40.2006	17.3493	29.6659	15.6269	28.8625	7.22445	10.6765
NIOZ130_sc3240_1	2986	39.8103	15.5437	32.0796	16.982	65.988	7.28456	10.2996
NIOZ130_sc3243_1	6216	43.8513	9.97461	11.5466	17.6873	34.5512	16.1896	22.4222
NIOZ130_sc3259_1	4510	36.8138	13.3028	14.764	16.2975	24.2424	7.21353	10.4826
NIOZ130_sc3284_1	3723	61.4786	12.8883	51.5582	25.9916	64.2949	22.5987	45.0315
NIOZ130_sc3308_1	2553	24.1752	3.56013	8.169	10.871	58.4979	9.74407	27.6614
NIOZ130_sc3346_1	4139	79.4412	17.1817	22.8248	35.9611	77.7365	26.2983	55.688
NIOZ130_sc3369_1	4608	44.825	16.9495	28.8215	18.8149	33.7181	9.06056	16.0112
NIOZ130_sc3399_1	2540	35.3356	13.7473	22.1699	14.4845	19.4688	7.10377	13.5356
NIOZ130_sc3409_1	4012	52.5272	21.2812	40.2962	22.9832	61.3435	8.26282	12.633
NIOZ130_sc3410_1	145165	78.7152	17.9822	31.8995	33.4165	67.7334	27.3164	47.5992
NIOZ130_sc3446_1	2910	39.9935	12.7942	18.0917	18.6993	37.5923	8.5	21.0149
NIOZ130_sc3470_1	3535	38.634	13.2934	12.4331	17.0549	63.3016	8.28567	16.8383
NIOZ130_sc3486_1	8144	36.3396	12.7996	24.64	15.3645	29.2034	8.17551	30.12
NIOZ130_sc3493_1	2996	39.9389	16.2576	47.496	16.3387	78.3155	7.34259	67.57
NIOZ130_sc3530_1	5045	38.8717	14.1947	19.1657	15.4995	36.809	9.17753	21.0716
NIOZ130_sc3548_1	4356	67.4489	16.3968	59.83	28.6348	154.75	22.4173	49.9648
NIOZ130_sc3564_1	33018	69.3179	16.1776	30.4197	29.0926	64.6614	24.0477	42.1633
NIOZ130_sc3565_1	2500	28.054	8.45957	25.1373	13.2464	46.0978	6.34808	11.6549
NIOZ130_sc3600_1	3713	34.0873	12.2077	11.3358	15.1019	30.0629	6.77772	10.1902
NIOZ130_sc3618_1	2639	73.671	17.0076	34.2019	31.3748	94.7411	25.2885	85.3495
NIOZ130_sc3644_1	5614	39.7204	16.1519	30.3261	16.1722	23.2013	7.39623	12.9878
NIOZ130_sc3661_1	5760	65.1508	12.5722	22.6333	27.1654	68.8888	25.4132	89.4564
NIOZ130_sc3668_1	2554	37.1518	14.5183	28.6111	15.473	26.2219	7.16057	11.3833
NIOZ130_sc3706_1	5751	72.7784	15.9473	26.1467	29.9859	61.3965	26.8452	65.6704
NIOZ130_sc3724_1	15432	42.4704	10.1913	19.1546	17.2893	37.7797	14.9898	22.7184
NIOZ130_sc3730_1	8518	38.2872	14.3711	49.11	15.6082	49.2132	8.30796	31.3989
NIOZ130_sc3805_1	17030	65.1115	14.0712	25.3385	28.2437	56.8882	22.7966	42.0276
NIOZ130_sc3899_1	2612	38.5865	13.383	17.76	16.5378	49.0591	8.66572	9.49044
NIOZ130_sc3912_1	5327	71.175	16.9844	37.1628	29.6639	90.5235	24.5268	31.064
NIOZ130_sc3919_1	4176	45.5847	18.3741	22.5778	20.0681	50.858	7.14257	6.20749
NIOZ130_sc3928_1	4702	44.6366	10.1522	22.4565	19.8917	50.9661	14.5927	24.5351
NIOZ130_sc3940_1	10672	41.0721	15.8315	30.3424	16.8799	38.9679	8.36077	13.4772
NIOZ130_sc3943_1	2527	36.3525	13.3345	17.1907	15.395	16.861	7.62305	13.6812
NIOZ130_sc3964_1	3669	43.8218	14.0429	33.244	20.7249	85.3038	9.05399	19.8151
NIOZ130_sc3980_1	46061	72.7203	16.2823	25.3743	30.3475	60.2674	26.0904	50.106
NIOZ130_sc3984_1	2504	44.7001	18.2192	36.6369	19.0697	30.4917	7.41121	17.0888
NIOZ130_sc3997_1	5414	41.7574	15.1636	36.707	18.2601	33.051	8.33378	16.963
NIOZ130_sc4013_1	3587	37.4117	14.5156	43.9657	15.5412	39.0236	7.35496	10.4881
NIOZ130_sc4073_1	3909	37.6723	15.3679	23.6342	15.1479	16.0719	7.15642	9.93815
NIOZ130_sc4074_1	6938	38.3972	15.0759	22.3266	16.5744	28.0372	6.74691	11.2413
NIOZ130_sc4117_1	4782	40.1887	15.2627	34.2473	17.3659	40.6078	7.56002	14.8986
NIOZ130_sc4120_1	5903	72.7139	17.831	47.08	28.9089	80.6265	25.9739	44.3442
NIOZ130_sc4122_1	3042	43.8354	18.5211	35.7354	17.2808	25.1745	8.03354	19.2722
NIOZ130_sc4193_1	23594	69.3014	15.7203	27.2947	28.0373	49.7157	25.5438	47.9797
NIOZ130_sc4212_1	17554	45.0672	17.7955	29.0026	18.4256	37.6426	8.84613	16.856
NIOZ130_sc4227_1	2938	46.887	16.5703	37.6565	20.7321	44.6148	9.58465	9.73199
NIOZ130_sc4246_1	35038	55.5524	12.6911	37.1022	23.7221	98.845	19.1392	59.819
NIOZ130_sc4279_1	3414	62.2901	12.686	39.1445	26.06	110.333	23.5441	49.2496
NIOZ130_sc4295_1	5333	36.5092	12.2749	21.4306	17.0868	37.0276	7.14741	12.4623
NIOZ130_sc4296_1	11727	72.4947	16.2153	32.2427	30.9952	98.2752	25.2842	56.7847
NIOZ130_sc4307_1	2635	32.2507	9.90785	21.0169	12.8213	19.9632	9.52153	17.1817
NIOZ130_sc4350_1	6897	43.8702	18.2776	38.8005	18.7068	31.6944	6.88573	11.577
NIOZ130_sc4368_1	3238	40.3847	16.5907	38.2304	16.0625	37.8302	7.73154	15.6626
NIOZ130_sc4377_1	48251	71.848	16.0723	51.9065	30.2	121.493	25.5758	67.2043
NIOZ130_sc4381_1	2995	65.1926	16.4415	38.4986	27.1638	47.1032	21.5873	68.4273
NIOZ130_sc4414_1	5737	38.1206	13.0408	34.4598	17.6393	36.2362	7.44049	13.6949
NIOZ130_sc4427_1	2932	25.9608	7.04026	12.0624	11.6869	16.8775	7.23364	10.4516
NIOZ130_sc4459_1	39497	68.2925	15.4004	28.1271	29.7337	55.2413	23.1585	36.8183
NIOZ130_sc4494_1	12587	70.6551	16.0258	33.7868	30.7296	108.461	23.8997	57.4946
NIOZ130_sc4496_1	2939	33.5034	13.6397	20.0347	13.2696	23.333	6.59412	6.0095
NIOZ130_sc4505_1	72833	70.2507	15.7948	31.9116	29.9856	62.4154	24.4704	45.2957
NIOZ130_sc4507_1	4083	33.5299	11.5713	17.9536	14.7122	29.0167	7.24638	10.2381
NIOZ130_sc4528_1	3595	22.4462	5.51059	6.0938	7.77707	9.40669	9.15849	13.6114
NIOZ130_sc4535_1	5036	37.5278	14.9394	28.999	15.4546	26.2481	7.13385	12.4818
NIOZ130_sc4546_1	3577	65.0925	15.9253	53.1675	25.9699	83.8308	23.1973	90.9026
NIOZ130_sc4560_1	2721	49.3683	22.0097	62.2825	18.0229	51.0661	9.33567	22.0776
NIOZ130_sc4570_1	6434	65.7532	16.5791	35.9815	28.2683	104.027	20.9058	46.6739
NIOZ130_sc4594_1	3524	42.567	16.7413	37.0113	17.1218	32.8055	8.70391	18.2873
NIOZ130_sc4651_1	18993	78.0864	17.6885	27.9823	33.2096	63.6804	27.1883	54.4808
NIOZ130_sc4692_1	16190	41.7185	15.4827	33.9673	17.7971	41.0587	8.43859	14.9172
NIOZ130_sc4710_1	2770	42.9878	16.9973	28.6303	18.2981	61.8281	7.69237	10.3008
NIOZ130_sc4759_1	2962	43.4534	15.25	35.3921	21.0526	31.0779	7.15078	13.3035
NIOZ130_sc4900_1	4348	40.1949	15.1174	27.5968	15.5865	47.4652	9.49119	13.2822
NIOZ130_sc4912_1	2885	31.7444	10.2285	12.1026	14.4563	25.5789	7.0596	9.14189
NIOZ130_sc4984_1	16060	62.1315	14.606	28.218	27.0006	54.035	20.5249	36.3579
NIOZ130_sc5013_1	12257	36.1365	13.4456	19.5697	15.3827	34.5057	7.30817	12.7319
NIOZ130_sc5021_1	26491	71.9199	15.3595	26.8597	32.2525	61.9534	24.3078	50.6434
NIOZ130_sc5037_1	4786	39.6605	14.9092	50.955	16.4105	73.5622	8.34081	29.5185
NIOZ130_sc5043_1	3202	42.9361	15.1868	17.9901	18.941	47.1016	8.80832	14.8539
NIOZ130_sc5051_1	3489	46.2432	16.3789	26.1291	19.9125	41.636	9.95178	18.1838
NIOZ130_sc5065_1	9900	43.9595	11.5303	24.5254	18.0435	29.7556	14.3857	21.0968
NIOZ130_sc5108_1	3294	36.5795	16.0512	48.4839	12.8139	17.2873	7.71438	9.32283
NIOZ130_sc5115_1	17317	73.7191	16.8564	28.2754	31.3483	69.8831	25.5145	43.846
NIOZ130_sc5130_1	2611	38.3807	14.4104	26.8054	17.1203	24.5318	6.85006	10.112
NIOZ130_sc5136_1	6062	36.851	15.1171	54.3554	14.4205	34.7694	7.31343	16.9972
NIOZ130_sc5139_1	12636	66.4569	14.7295	32.799	27.6041	63.1257	24.1233	86.3519
NIOZ130_sc5147_1	6172	64.8731	13.2516	47.2213	27.7212	110.808	23.9004	68.2865
NIOZ130_sc5207_1	8517	36.2433	12.973	19.9865	15.706	32.3303	7.56436	11.5432
NIOZ130_sc5213_1	2654	73.9457	13.6705	16.8755	31.8518	112.891	28.4233	80.9101
NIOZ130_sc5221_1	3687	47.5397	17.8024	27.964	20.9324	48.9525	8.80492	14.7825
NIOZ130_sc5280_1	3028	39.4569	16.9291	23.8066	14.4291	23.3156	8.09868	11.7303
NIOZ130_sc5289_1	13670	36.7525	14.573	28.6095	15.2398	29.5233	6.93972	11.7684
NIOZ130_sc5366_1	38517	68.3029	15.3699	26.5142	28.8943	70.6151	24.0387	38.7202
NIOZ130_sc5409_1	2792	21.7422	4.68547	13.5073	8.19985	21.8231	8.85731	22.2268
NIOZ130_sc5446_1	6303	38.5675	15.6038	34.657	14.2205	23.4269	8.74321	10.5543
NIOZ130_sc5455_1	4648	57.1383	12.4858	17.348	26.7537	57.0252	17.8988	37.2014
NIOZ130_sc5469_1	30086	73.4584	16.2076	31.5342	31.1798	59.1514	26.0709	53.3884
NIOZ130_sc5513_1	2763	33.5063	12.0739	18.573	14.2549	26.3598	7.17757	9.9041
NIOZ130_sc5559_1	47114	72.686	15.9016	32.4797	32.1759	59.8903	24.6086	44.8569
NIOZ130_sc5654_1	2651	38.2903	15.3727	26.3156	15.4006	54.3531	7.51699	18.6034
NIOZ130_sc5658_1	2978	38.7532	13.64	23.1757	18.668	42.2553	6.44519	8.34892
NIOZ130_sc5672_1	4815	75.3466	16.2549	26.8503	32.6707	92.3491	26.421	44.4592
NIOZ130_sc5685_1	4789	37.2861	16.3611	37.5091	14.3167	22.7979	6.60832	8.13614
NIOZ130_sc5693_1	3721	32.3332	13.4595	22.4567	12.2075	19.2173	6.6662	8.2717
NIOZ130_sc5727_1	3223	34.3352	13.4849	26.8488	14.1383	31.609	6.71201	9.06066
NIOZ130_sc5732_1	66044	73.4975	15.8102	30.5584	31.1743	63.1642	26.513	48.5967
NIOZ130_sc5775_1	2723	40.3226	15.1073	18.9862	17.9444	40.1077	7.27089	13.4644
NIOZ130_sc5783_1	28527	74.4813	16.0418	41.664	31.395	75.943	27.0445	53.4064
NIOZ130_sc5804_1	14139	70.4045	16.326	42.0773	29.2058	84.7906	24.8728	64.0372
NIOZ130_sc5858_1	2518	41.215	14.5929	32.2246	20.6047	46.9446	6.01731	8.04481
NIOZ130_sc5919_1	2823	26.159	8.93154	8.75544	11.5099	12.0652	5.71755	6.74091
NIOZ130_sc5920_1	13000	64.4932	14.59	26.7587	26.6325	55.9563	23.2707	43.5496
NIOZ130_sc6016_1	6887	54.6208	14.9647	30.6518	21.1809	96.1932	18.4751	77.2243
NIOZ130_sc6071_1	4262	40.3106	16.5783	31.7046	16.6221	50.1151	7.11017	10.2932
NIOZ130_sc6124_1	2524	42.2203	17.3534	28.0805	18.2304	32.8255	6.63648	13.0406
NIOZ130_sc6129_1	115155	70.3228	15.9957	28.417	29.7469	64.5761	24.5802	45.7286
NIOZ130_sc6131_1	15323	59.0267	11.0633	25.2435	25.7041	64.0704	22.2593	46.6143
NIOZ130_sc6205_1	4272	22.3496	3.5507	4.11934	8.17952	10.6694	10.6194	23.4166
NIOZ130_sc6212_1	6088	43.7659	17.1361	35.4418	18.0115	42.6203	8.61839	14.6072
NIOZ130_sc6215_1	5969	39.4726	16.6771	41.7283	15.4965	31.3735	7.29919	9.30732
NIOZ130_sc6249_1	2699	31.774	4.43939	9.56909	12.9698	42.6335	14.3652	37.6389
NIOZ130_sc6260_1	22275	63.7744	14.5066	27.5533	27.2694	59.782	21.9984	44.0459
NIOZ130_sc6285_1	3952	24.0371	8.69253	13.4522	10.4992	16.8467	4.84534	6.25654
NIOZ130_sc6315_1	3239	39.9488	14.0388	22.1747	17.3759	53.6243	8.53415	11.4483
NIOZ130_sc6332_1	3291	20.3524	4.18943	9.36596	8.98886	29.7067	7.17415	16.9279
NIOZ130_sc6335_1	3086	39.3345	6.99046	17.7806	17.0341	84.3506	15.3099	54.2121
NIOZ130_sc6342_1	5176	40.3339	14.8643	19.3609	17.3482	28.456	8.12137	17.5756
NIOZ130_sc6352_1	2994	38.808	12.7155	18.7847	17.7764	26.0273	8.3161	12.8747
NIOZ130_sc6426_1	5617	38.265	15.4185	24.1993	15.6922	25.3968	7.15438	10.7146
NIOZ130_sc6592_1	73433	77.086	17.7651	30.7972	32.0708	62.4521	27.2501	41.86
NIOZ130_sc6598_1	5456	43.6902	15.637	20.9639	18.7443	41.243	9.3089	11.5232
NIOZ130_sc6600_1	5109	39.4505	18.0428	38.1064	14.0226	24.1968	7.38516	14.097
NIOZ130_sc6604_1	5788	45.9393	18.7208	32.4469	18.3682	28.2022	8.8503	15.0792
NIOZ130_sc6632_1	3375	30.8933	12.3888	16.7842	11.0493	17.0394	7.45519	10.6121
NIOZ130_sc6651_1	27418	75.0789	17.0799	34.151	32.8178	58.8771	25.1812	47.1806
NIOZ130_sc6656_1	3350	40.8187	15.3484	31.8657	17.07	31.977	8.40031	17.5956
NIOZ130_sc6696_1	8661	41.9715	17.0149	40.0818	16.5068	45.9309	8.44977	26.6006
NIOZ130_sc6725_1	3904	45.1713	17.9787	35.9884	18.2624	58.4474	8.93021	18.1663
NIOZ130_sc6743_1	3220	42.1827	15.1433	20.826	18.6661	48.7865	8.37329	11.4826
NIOZ130_sc6753_1	3727	46.7104	19.5337	39.9932	19.9737	35.555	7.20296	10.6943
NIOZ130_sc6836_1	3635	44.0841	17.697	22.8335	18.1438	33.9769	8.24333	17.0136
NIOZ130_sc6890_1	4727	38.6648	14.4922	27.2762	15.9185	33.5212	8.2541	14.9006
NIOZ130_sc6892_1	82849	75.0025	16.9359	29.8578	31.9641	73.6431	26.1025	41.5697
NIOZ130_sc6912_1	76742	65.7466	15.2008	24.3955	27.4498	58.1782	23.096	39.2724
NIOZ130_sc6915_1	3300	36.6889	12.8717	24.5716	17.1851	30.826	6.63206	9.44322
NIOZ130_sc7009_1	2967	36.4544	12.4924	22.7982	16.1193	27.7125	7.84274	9.34445
NIOZ130_sc7062_1	4362	38.4295	13.2443	13.6319	16.9862	34.0418	8.19896	15.542
NIOZ130_sc7097_1	6439	67.741	17.847	62.8688	28.9631	151.244	20.9308	86.674
NIOZ130_sc7168_1	14414	65.177	14.0706	24.4288	29.1792	69.44	21.9272	57.2068
NIOZ130_sc7211_1	4928	63.7334	15.2384	34.5288	26.4818	68.5844	22.0132	38.4436
